week_title,week_year,week_month,week_day,rank_text,rank_number,move_positions,move_direction,player_age,ranking_points,tourneys_played,player_url,player_slug,name,country,player_id,profile_picture
2019.01.28,2019,1,28,183,183,9,up,20,279,14,/en/players/yosuke-watanuki/wb08/overview,yosuke-watanuki,Yosuke Watanuki,JPN,wb08,www.atptour.com/-/media/tennis/players/head-shot/2017/watanuki_head17.png
2019.01.28,2019,1,28,184,184,36,down,35,278,18,/en/players/gilles-muller/ma30/overview,gilles-muller,Gilles Muller,LUX,ma30,www.atptour.com/-/media/tennis/players/head-shot/2017/muller_headao17.png
2019.01.28,2019,1,28,185,185,2,down,31,278,17,/en/players/daniel-brands/bc72/overview,daniel-brands,Daniel Brands,GER,bc72,www.atptour.com/-/media/tennis/players/head-shot/brands-atpwt-headshot-template.png
2019.01.28,2019,1,28,186,186,14,up,32,277,18,/en/players/viktor-troicki/t840/overview,viktor-troicki,Viktor Troicki,SRB,t840,www.atptour.com/-/media/tennis/players/head-shot/2018/troicki_head_ao18.png
2019.01.28,2019,1,28,187,187,15,down,31,277,20,/en/players/tim-smyczek/sf62/overview,tim-smyczek,Tim Smyczek,USA,sf62,www.atptour.com/-/media/tennis/players/head-shot/2016/smyczek_head_16.png
2019.01.28,2019,1,28,188,188,31,down,26,275,29,/en/players/mats-moraing/mj71/overview,mats-moraing,Mats Moraing,GER,mj71,www.atptour.com/-/media/tennis/players/head-shot/2018/moraing_2018pp.png
2019.01.28,2019,1,28,189,189,1,down,33,271,24,/en/players/daniel-gimeno-traver/g676/overview,daniel-gimeno-traver,Daniel Gimeno-Traver,ESP,g676,www.atptour.com/-/media/tennis/players/head-shot/2016/gimenot_head_16.png
2019.01.28,2019,1,28,190,190,8,down,33,270,12,/en/players/horacio-zeballos/z184/overview,horacio-zeballos,Horacio Zeballos,ARG,z184,www.atptour.com/-/media/tennis/players/head-shot/zeballos-atpwt-headshot-template.png
2019.01.28,2019,1,28,191,191,2,up,31,270,22,/en/players/aleksandr-nedovyesov/n503/overview,aleksandr-nedovyesov,Aleksandr Nedovyesov,KAZ,n503,www.atptour.com/-/media/tennis/players/head-shot/lq/active/nedovyesovaheadshotlq.png
2019.01.28,2019,1,28,192,192,6,up,23,269,21,/en/players/stefano-napolitano/n679/overview,stefano-napolitano,Stefano Napolitano,ITA,n679,www.atptour.com/-/media/tennis/players/head-shot/2018/napolitano_stefano_head_pp18.png
2019.01.28,2019,1,28,193,193,35,up,26,269,21,/en/players/facundo-arguello/a941/overview,facundo-arguello,Facundo Arguello,ARG,a941,www.atptour.com/-/media/tennis/players/head-shot/lq/active/arguello-f_headshot_lq14.png
2019.01.28,2019,1,28,194,194,1,up,20,267,15,/en/players/mikael-ymer/y268/overview,mikael-ymer,Mikael Ymer,SWE,y268,www.atptour.com/-/media/tennis/players/head-shot/2016/ymer-m_head_pp16.png
2019.01.28,2019,1,28,195,195,19,up,24,265,23,/en/players/kimmer-coppejans/cg33/overview,kimmer-coppejans,Kimmer Coppejans,BEL,cg33,www.atptour.com/-/media/tennis/players/head-shot/2016/coppejans_head_16.png
2019.01.28,2019,1,28,196,196,5,down,37,264,15,/en/players/nicolas-mahut/m873/overview,nicolas-mahut,Nicolas Mahut,FRA,m873,www.atptour.com/-/media/tennis/players/head-shot/2018/mahut_head_ao18.png
2019.01.28,2019,1,28,197,197,10,up,19,262,15,/en/players/jurij-rodionov/r09x/overview,jurij-rodionov,Jurij Rodionov,AUT,r09x,www.atptour.com/-/media/tennis/players/head-shot/2017/rodionov_head17.png
2019.01.28,2019,1,28,198,198,4,down,21,261,18,/en/players/tommy-paul/pl56/overview,tommy-paul,Tommy Paul,USA,pl56,www.atptour.com/-/media/tennis/players/head-shot/2018/paul_head_ao18.png
2019.01.28,2019,1,28,199,199,3,up,24,258,17,/en/players/adam-pavlasek/pg32/overview,adam-pavlasek,Adam Pavlasek,CZE,pg32,www.atptour.com/-/media/tennis/players/head-shot/lq/active/pavlasek-a_headshot_getty15.png
2019.01.28,2019,1,28,200,200,14,down,28,258,27,/en/players/mohamed-safwat/sk47/overview,mohamed-safwat,Mohamed Safwat,EGY,sk47,www.atptour.com/-/media/tennis/players/head-shot/2018/safwat_head_pp18.png
2019.01.28,2019,1,28,201,201,4,down,38,253,20,/en/players/stephane-robert/r612/overview,stephane-robert,Stephane Robert,FRA,r612,www.atptour.com/-/media/tennis/players/head-shot/lq/active/robert-s_headshot_lq10.png
2019.01.28,2019,1,28,202,202,3,down,26,253,23,/en/players/arthur-de-greef/d981/overview,arthur-de-greef,Arthur De Greef,BEL,d981,www.atptour.com/-/media/tennis/players/head-shot/lq/active/degreef-a_headshot_getty13.png
2019.01.28,2019,1,28,203,203,28,up,29,251,20,/en/players/donald-young/y124/overview,donald-young,Donald Young,USA,y124,www.atptour.com/-/media/tennis/players/head-shot/2016/young_head_16.png
2019.01.28,2019,1,28,204,204,1,down,36,251,20,/en/players/tommy-robredo/r419/overview,tommy-robredo,Tommy Robredo,ESP,r419,www.atptour.com/-/media/tennis/players/head-shot/vibrant/robredo-headshot15.png
2019.01.28,2019,1,28,205,205,3,up,28,251,21,/en/players/blaz-rola/ra51/overview,blaz-rola,Blaz Rola,SLO,ra51,www.atptour.com/-/media/tennis/players/head-shot/lq/active/rola-b_headshot_getty14.png
2019.01.28,2019,1,28,206,206,16,down,22,249,20,/en/players/ernesto-escobedo/e873/overview,ernesto-escobedo,Ernesto Escobedo,USA,e873,www.atptour.com/-/media/tennis/players/head-shot/2018/escobedo_head_ao18.png
2019.01.28,2019,1,28,207,207,3,down,23,248,18,/en/players/matteo-donati/da67/overview,matteo-donati,Matteo Donati,ITA,da67,www.atptour.com/-/media/tennis/players/head-shot/2016/donati_head_16.png
2019.01.28,2019,1,28,208,208,8,up,28,247,23,/en/players/ze-zhang/z272/overview,ze-zhang,Ze Zhang,CHN,z272,www.atptour.com/-/media/tennis/players/head-shot/2018/zhang_ze_head_pp18.png
2019.01.28,2019,1,28,209,209,21,up,25,246,30,/en/players/mitchell-krueger/kc12/overview,mitchell-krueger,Mitchell Krueger,USA,kc12,www.atptour.com/-/media/tennis/players/head-shot/lr2018/krueger_mitchell_2018.png
2019.01.28,2019,1,28,210,210,33,down,33,245,15,/en/players/jo-wilfried-tsonga/t786/overview,jo-wilfried-tsonga,Jo-Wilfried Tsonga,FRA,t786,www.atptour.com/-/media/tennis/players/head-shot/2018/tsonga_head_ao18.png
2019.01.28,2019,1,28,211,211,22,up,22,244,13,/en/players/tallon-griekspoor/gj37/overview,tallon-griekspoor,Tallon Griekspoor,NED,gj37,www.atptour.com/-/media/tennis/players/head-shot/2018/griekspoor_tallon_2018.png
2019.01.28,2019,1,28,212,212,24,up,20,242,24,/en/players/jay-clarke/ci14/overview,jay-clarke,Jay Clarke,GBR,ci14,www.atptour.com/-/media/tennis/players/head-shot/2018/clarke_jay_head_pp18.png
2019.01.28,2019,1,28,213,213,11,up,25,239,27,/en/players/joao-domingues/d985/overview,joao-domingues,Joao Domingues,POR,d985,
2019.01.28,2019,1,28,214,214,13,down,30,236,19,/en/players/john-patrick-smith/sj55/overview,john-patrick-smith,John-Patrick Smith,AUS,sj55,www.atptour.com/-/media/tennis/players/head-shot/2016/smith_jp_head_16.png
2019.01.28,2019,1,28,215,215,10,down,31,236,14,/en/players/blaz-kavcic/k834/overview,blaz-kavcic,Blaz Kavcic,SLO,k834,www.atptour.com/-/media/tennis/players/head-shot/lq/active/kavcic-b_headshot_lq15.png
2019.01.28,2019,1,28,216,216,6,down,29,236,16,/en/players/sergio-gutierrez-ferrol/g935/overview,sergio-gutierrez-ferrol,Sergio Gutierrez-Ferrol,ESP,g935,
2019.01.28,2019,1,28,217,217,6,down,34,235,23,/en/players/go-soeda/sc47/overview,go-soeda,Go Soeda,JPN,sc47,www.atptour.com/-/media/tennis/players/head-shot/compressed/soeda-headshot-getty13.png
2019.01.28,2019,1,28,218,218,6,down,32,235,24,/en/players/tobias-kamke/k839/overview,tobias-kamke,Tobias Kamke,GER,k839,www.atptour.com/-/media/tennis/kamke-tobias.jpg
2019.01.28,2019,1,28,219,219,2,down,26,235,25,/en/players/filip-horansky/ha28/overview,filip-horansky,Filip Horansky,SVK,ha28,
2019.01.28,2019,1,28,220,220,7,down,24,234,23,/en/players/calvin-hemery-/hb48/overview,calvin-hemery-,Calvin Hemery,FRA,hb48,www.atptour.com/-/media/tennis/players/head-shot/lq/active/hemery_calvin_2016.png
2019.01.28,2019,1,28,221,221,1,down,28,233,23,/en/players/marcelo-arevalo/a853/overview,marcelo-arevalo,Marcelo Arevalo,ESA,a853,www.atptour.com/-/media/tennis/players/head-shot/2017/arevalo_headpp17.png
2019.01.28,2019,1,28,222,222,7,down,22,233,26,/en/players/maxime-janvier/j620/overview,maxime-janvier,Maxime Janvier,FRA,j620,
2019.01.28,2019,1,28,223,223,2,up,31,232,26,/en/players/thomaz-bellucci/bd20/overview,thomaz-bellucci,Thomaz Bellucci,BRA,bd20,www.atptour.com/-/media/tennis/players/head-shot/2017/bellucci_headao17.png
2019.01.28,2019,1,28,224,224,51,up,24,231,22,/en/players/gianluca-mager/ml57/overview,gianluca-mager,Gianluca Mager,ITA,ml57,www.atptour.com/-/media/tennis/players/head-shot/lq/active/mager-g_headshot_lq.png
2019.01.28,2019,1,28,225,225,4,up,31,230,14,/en/players/andy-murray/mc10/overview,andy-murray,Andy Murray,GBR,mc10,www.atptour.com/-/media/tennis/players/head-shot/2017/murray_a_headao17.png
2019.01.28,2019,1,28,226,226,17,down,26,228,25,/en/players/federico-gaio/gb53/overview,federico-gaio,Federico Gaio,ITA,gb53,www.atptour.com/-/media/tennis/players/head-shot/2018/gaio_head_ao18.png
2019.01.28,2019,1,28,227,227,5,down,27,228,29,/en/players/lorenzo-giustino/ga79/overview,lorenzo-giustino,Lorenzo Giustino,ITA,ga79,www.atptour.com/-/media/tennis/players/head-shot/2017/giustino_headao17.png
2019.01.28,2019,1,28,228,228,7,down,22,224,19,/en/players/daniel-elahi-galan/ge33/overview,daniel-elahi-galan,Daniel Elahi Galan,COL,ge33,www.atptour.com/-/media/tennis/players/head-shot/2018/galan_daniel-elahi_2018.png
2019.01.28,2019,1,28,229,229,3,down,20,222,16,/en/players/gian-marco-moroni/mp83/overview,gian-marco-moroni,Gian Marco Moroni,ITA,mp83,www.atptour.com/-/media/tennis/players/head-shot/2018/moroni_gianmarco_head18.png
2019.01.28,2019,1,28,230,230,3,down,28,219,23,/en/players/viktor-galovic/gb61/overview,viktor-galovic,Viktor Galovic,CRO,gb61,www.atptour.com/-/media/tennis/players/head-shot/2017/galovic_head17.png
2019.01.28,2019,1,28,231,231,12,down,22,218,29,/en/players/zdenek-kolar/kh56/overview,zdenek-kolar,Zdenek Kolar,CZE,kh56,www.atptour.com/-/media/tennis/players/head-shot/2017/kolar_headao17.png
2019.01.28,2019,1,28,232,232,,,27,216,15,/en/players/kevin-krawietz/kb92/overview,kevin-krawietz,Kevin Krawietz,GER,kb92,www.atptour.com/-/media/tennis/players/head-shot/2018/krawietz_head_pp18.png
2019.01.28,2019,1,28,233,233,10,down,34,214,20,/en/players/dustin-brown/ba65/overview,dustin-brown,Dustin Brown,GER,ba65,www.atptour.com/-/media/tennis/players/head-shot/2018/brown_head_ao18.png
2019.01.28,2019,1,28,234,234,,,26,214,22,/en/players/guilherme-clezar/cc32/overview,guilherme-clezar,Guilherme Clezar,BRA,cc32,www.atptour.com/-/media/tennis/players/head-shot/lq/active/clezar-g_headshot_getty14.png
2019.01.28,2019,1,28,235,235,6,up,19,211,21,/en/players/alejandro-davidovich-fokina/dh50/overview,alejandro-davidovich-fokina,Alejandro Davidovich Fokina,ESP,dh50,www.atptour.com/-/media/tennis/players/head-shot/2018/davidovich_a_head_pp18.png
2019.01.28,2019,1,28,236,236,2,up,21,206,14,/en/players/soonwoo-kwon/kf17/overview,soonwoo-kwon,Soonwoo Kwon,KOR,kf17,www.atptour.com/-/media/tennis/players/head-shot/2018/soonwon_kwon_head_ao18.png
2019.01.28,2019,1,28,237,237,6,up,30,206,16,/en/players/thiemo-de-bakker/d776/overview,thiemo-de-bakker,Thiemo de Bakker,NED,d776,www.atptour.com/-/media/tennis/players/head-shot/lq/active/debakker-t_headshot_getty11.png
2019.01.28,2019,1,28,238,238,2,up,24,205,28,/en/players/filip-peliwo/pf65/overview,filip-peliwo,Filip Peliwo,CAN,pf65,www.atptour.com/-/media/tennis/players/head-shot/2019/peliwo_head_pp19.png
2019.01.28,2019,1,28,239,239,2,down,27,201,16,/en/players/james-duckworth/d994/overview,james-duckworth,James Duckworth,AUS,d994,www.atptour.com/-/media/tennis/players/head-shot/compressed/duckworth-headshot-getty15.png
