week_title,week_year,week_month,week_day,rank_text,rank_number,move_positions,move_direction,player_age,ranking_points,tourneys_played,player_url,player_slug,name,country,player_id
2019.06.24,2019,6,24,181,181,33,down,24,296,23,/en/players/nikola-milojevic/mm66/overview,nikola-milojevic,Nikola Milojevic,SRB,mm66
2019.06.24,2019,6,24,182,182,4,down,26,292,16,/en/players/yasutaka-uchiyama/u134/overview,yasutaka-uchiyama,Yasutaka Uchiyama,JPN,u134
2019.06.24,2019,6,24,183,183,7,down,23,287,23,/en/players/noah-rubin/rc96/overview,noah-rubin,Noah Rubin,USA,rc96
2019.06.24,2019,6,24,184,184,2,up,25,286,28,/en/players/mitchell-krueger/kc12/overview,mitchell-krueger,Mitchell Krueger,USA,kc12
2019.06.24,2019,6,24,185,185,1,down,27,286,25,/en/players/emilio-gomez/ga36/overview,emilio-gomez,Emilio Gomez,ECU,ga36
2019.06.24,2019,6,24,186,186,4,down,36,282,19,/en/players/carlos-berlocq/b884/overview,carlos-berlocq,Carlos Berlocq,ARG,b884
2019.06.24,2019,6,24,187,187,2,down,33,281,19,/en/players/simone-bolelli/ba98/overview,simone-bolelli,Simone Bolelli,ITA,ba98
2019.06.24,2019,6,24,188,188,1,down,29,279,15,/en/players/vasek-pospisil/pd07/overview,vasek-pospisil,Vasek Pospisil,CAN,pd07
2019.06.24,2019,6,24,189,189,21,down,26,279,15,/en/players/jason-kubler/kb95/overview,jason-kubler,Jason Kubler,AUS,kb95
2019.06.24,2019,6,24,190,190,1,down,22,278,31,/en/players/marc-polmans/pg94/overview,marc-polmans,Marc Polmans,AUS,pg94
2019.06.24,2019,6,24,191,191,1,down,31,275,21,/en/players/daniel-brands/bc72/overview,daniel-brands,Daniel Brands,GER,bc72
2019.06.24,2019,6,24,192,192,12,down,27,271,20,/en/players/darian-king/kc86/overview,darian-king,Darian King,BAR,kc86
2019.06.24,2019,6,24,193,193,,,33,270,21,/en/players/viktor-troicki/t840/overview,viktor-troicki,Viktor Troicki,SRB,t840
2019.06.24,2019,6,24,194,194,,,32,270,25,/en/players/aleksandr-nedovyesov/n503/overview,aleksandr-nedovyesov,Aleksandr Nedovyesov,KAZ,n503
2019.06.24,2019,6,24,195,195,3,down,22,270,32,/en/players/maxime-janvier/j620/overview,maxime-janvier,Maxime Janvier,FRA,j620
2019.06.24,2019,6,24,196,196,8,down,23,268,13,/en/players/thanasi-kokkinakis/kd46/overview,thanasi-kokkinakis,Thanasi Kokkinakis,AUS,kd46
2019.06.24,2019,6,24,197,197,1,down,23,267,26,/en/players/christopher-eubanks/e865/overview,christopher-eubanks,Christopher Eubanks,USA,e865
2019.06.24,2019,6,24,198,198,1,down,23,267,18,/en/players/daniel-elahi-galan/ge33/overview,daniel-elahi-galan,Daniel Elahi Galan,COL,ge33
2019.06.24,2019,6,24,199,199,1,down,28,265,27,/en/players/viktor-galovic/gb61/overview,viktor-galovic,Viktor Galovic,CRO,gb61
2019.06.24,2019,6,24,200,200,1,down,29,264,20,/en/players/donald-young/y124/overview,donald-young,Donald Young,USA,y124
2019.06.24,2019,6,24,201,201,,,22,264,19,/en/players/tallon-griekspoor/gj37/overview,tallon-griekspoor,Tallon Griekspoor,NED,gj37
2019.06.24,2019,6,24,202,202,2,up,27,264,22,/en/players/constant-lestienne/lb66/overview,constant-lestienne,Constant Lestienne,FRA,lb66
2019.06.24,2019,6,24,203,203,,,27,260,24,/en/players/mirza-basic/be67/overview,mirza-basic,Mirza Basic,BIH,be67
2019.06.24,2019,6,24,204,204,2,up,26,256,30,/en/players/alexey-vatutin/v717/overview,alexey-vatutin,Alexey Vatutin,RUS,v717
2019.06.24,2019,6,24,205,205,7,up,32,255,25,/en/players/james-ward/w503/overview,james-ward,James Ward,GBR,w503
